date,account,category,amount,currency,converted amount,currency,description
18/10/2023,Bank account,Food,-120,INR,-120,INR,Olala dinner
18/10/2023,Bank account,Food,-90,INR,-90,INR,Meals spoons
18/10/2023,Bank account,Food,-120,INR,-120,INR,CH oreo shake
18/10/2023,Bank account,Transport,"-1,250",INR,"-1,250",INR,Bus to Bangalore 
19/10/2023,Bank account,Food,-30,INR,-30,INR,Vada 
19/10/2023,Bank account,Food,-50,INR,-50,INR,Puttu kadala
19/10/2023,Bank account,Food,-130,INR,-130,INR,Biriyani 
19/10/2023,Bank account,Food,-50,INR,-50,INR,Breakfast 
19/10/2023,Bank account,House,-150,INR,-150,INR,Screen guard 
19/10/2023,Bank account,Sports,-100,INR,-100,INR,Football
19/10/2023,Bank account,Food,-20,INR,-20,INR,Lime
19/10/2023,Bank account,Car,-100,INR,-100,INR,Ojas petrol
19/10/2023,Bank account,Food,-140,INR,-140,INR,Chicken mandhi
20/10/2023,Bank account,Food,-120,INR,-120,INR,Chicken rice 
20/10/2023,Bank account,Friends ,-190,INR,-190,INR,Sourav 
20/10/2023,Bank account,Health,-130,INR,-130,INR,Haircut 
20/10/2023,Bank account,Transport,-32,INR,-32,INR,Metro
20/10/2023,Bank account,Transport,-10,INR,-10,INR,Auto
21/10/2023,Bank account,Transport,-46,INR,-46,INR,Rapido
21/10/2023,Bank account,Friends ,-15,INR,-15,INR,Slice ch
21/10/2023,Bank account,Entertainment,"-1,300",INR,"-1,300",INR,Brooks and bonds
21/10/2023,Bank account,Entertainment,-60,INR,-60,INR,Paper
22/10/2023,Bank account,Food,-124,INR,-124,INR,Breakfast 
22/10/2023,Bank account,Food,-150,INR,-150,INR,Meals+chicken
22/10/2023,Bank account,Entertainment,-99,INR,-99,INR,Boost
22/10/2023,Bank account,Transport,-215,INR,-215,INR,Auto 
23/10/2023,Bank account,Entertainment,-300,INR,-300,INR,Chin lungs
23/10/2023,Bank account,Entertainment,"-1,000",INR,"-1,000",INR,Omr blore
23/10/2023,Bank account,Sports,-200,INR,-200,INR,Football
23/10/2023,Bank account,Food,-280,INR,-280,INR,Lunch 
23/10/2023,Bank account,Food,-200,INR,-200,INR,Dinner paneer
24/10/2023,Bank account,Transport,-816,INR,-816,INR,Bus ticket to Chennai 
24/10/2023,Bank account,Food,-170,INR,-170,INR,Alfahm
25/10/2023,Bank account,Transport,-32,INR,-32,INR,Metro
25/10/2023,Bank account,Transport,-10,INR,-10,INR,Auto
25/10/2023,Bank account,Food,-55,INR,-55,INR,Breakfast
25/10/2023,Bank account,Food,-120,INR,-120,INR,Biriyani 
25/10/2023,Bank account,Friends ,-50,INR,-50,INR,Nandk 
25/10/2023,Bank account,Food,-90,INR,-90,INR,Bread omlet + chikoo shake
26/10/2023,Bank account,Bills,-100,INR,-100,INR,Slice repayment 
26/10/2023,Bank account,Food,-40,INR,-40,INR,Dosa
26/10/2023,Bank account,Transport,-40,INR,-40,INR,Share auto 
26/10/2023,Bank account,Transport,-44,INR,-44,INR,Rapido
26/10/2023,Bank account,College works,-260,INR,-260,INR,Arduino project 
26/10/2023,Bank account,Food,-90,INR,-90,INR,Meals
26/10/2023,Bank account,Food,-22,INR,-22,INR,Milk
26/10/2023,Bank account,Food,-60,INR,-60,INR,Eggs
26/10/2023,Bank account,Food,-20,INR,-20,INR,Bread 
27/10/2023,Bank account,Food,-52,INR,-52,INR,Breakfast 
27/10/2023,Bank account,Food,-30,INR,-30,INR,Watermelon juice
27/10/2023,Bank account,Food,-90,INR,-90,INR,Meals
27/10/2023,Bank account,Food,-10,INR,-10,INR,Pazhampori
27/10/2023,Bank account,Transport,-40,INR,-40,INR,Rapido
27/10/2023,Bank account,Food,-130,INR,-130,INR,Alfahm + chapati
28/10/2023,Bank account,Food,-120,INR,-120,INR,Chicken rice
28/10/2023,Bank account,Food,-10,INR,-10,INR,Banana 
28/10/2023,Bank account,Eggs,-36,INR,-36,INR,Curd+eggs
28/10/2023,Bank account,Food,-5,INR,-5,INR,Banana
28/10/2023,Bank account,Food,-55,INR,-55,INR,Dinner
28/10/2023,Bank account,Food,-4,INR,-4,INR,Coffee 
29/10/2023,Bank account,Sports,-120,INR,-120,INR,Football 
29/10/2023,Bank account,Sourav ,-30,INR,-30,INR,Sourav 
29/10/2023,Bank account,Eggs,-26,INR,-26,INR,Eggs 
29/10/2023,Bank account,Food,-30,INR,-30,INR,Yoghurt
29/10/2023,Bank account,Food,-50,INR,-50,INR,Chicken leg piece
29/10/2023,Bank account,Sourav ,-35,INR,-35,INR,Ammo
29/10/2023,Bank account,Sourav,60,INR,60,INR,petrol+tea+shift
29/10/2023,Bank account,Food,-140,INR,-140,INR,Alfahm+chapati 
29/10/2023,Bank account,Food,-35,INR,-35,INR,Rose milk
29/10/2023,Bank account,Food,-100,INR,-100,INR,Meals
30/10/2023,Bank account,Food,-35,INR,-35,INR,Breakfast 
30/10/2023,Bank account,Transport,-20,INR,-20,INR,Auto
30/10/2023,Bank account,Food,-190,INR,-190,INR,Lunch + alfahm
30/10/2023,Bank account,Food,-30,INR,-30,INR,Watermelon juice
30/10/2023,Bank account,Eggs,-65,INR,-65,INR,Eggs
30/10/2023,Bank account,Food,-40,INR,-40,INR,Chapati 
31/10/2023,Bank account,Friends ,-10,INR,-10,INR,Vava shift
31/10/2023,Bank account,Food,-100,INR,-100,INR,Club sandwich olala
31/10/2023,Bank account,Health,-99,INR,-99,INR,Peanut butter 
31/10/2023,Bank account,Eggs,-65,INR,-65,INR,Eggs
31/10/2023,Bank account,Food,-10,INR,-10,INR,Curd
01/11/2023,Bank account,Food,-35,INR,-35,INR,Yoghurt 
01/11/2023,Bank account,Petrol,-20,INR,-20,INR,Petrol
01/11/2023,Bank account,Transport,-20,INR,-20,INR,Share auto
01/11/2023,Bank account,Food,-35,INR,-35,INR,Watermelon 
01/11/2023,Bank account,Sourav ,-10,INR,-10,INR,Lime 
01/11/2023,Bank account,Food,-140,INR,-140,INR,Chicken mandhi
01/11/2023,Bank account,Transport,-20,INR,-20,INR,Auto
01/11/2023,Bank account,Eggs,-39,INR,-39,INR,Eggs 
01/11/2023,Bank account,Food,-40,INR,-40,INR,Chapati 
01/11/2023,Bank account,Petrol,-40,INR,-40,INR,Petrol 
02/11/2023,Bank account,Transport,-20,INR,-20,INR,Auto
02/11/2023,Bank account,Friends ,-10,INR,-10,INR,Devaj cig 
02/11/2023,Bank account,Transport,-20,INR,-20,INR,Auto
02/11/2023,Bank account,Groceries,-24,INR,-24,INR,Milk
02/11/2023,Bank account,Food,-120,INR,-120,INR,Biriyani 
02/11/2023,Bank account,House,-10,INR,-10,INR,Surf excel
02/11/2023,Bank account,Food,-40,INR,-40,INR,Chapati 
02/11/2023,Bank account,Eggs,-39,INR,-39,INR,Eggs
03/11/2023,Bank account,Transport,-50,INR,-50,INR,Rapido
03/11/2023,Bank account,Food,-110,INR,-110,INR,Biriyani 
03/11/2023,Bank account,Toiletry,-55,INR,-55,INR,Hairoil
03/11/2023,Bank account,Eggs,-48,INR,-48,INR,Eggs
04/11/2023,Bank account,House,"-2,399",INR,"-2,399",INR,Balzano blender 
04/11/2023,Bank account,Groceries,-29,INR,-29,INR,Milk+banana
04/11/2023,Bank account,Eggs,-65,INR,-65,INR,Eggs
04/11/2023,Bank account,Groceries,-25,INR,-25,INR,Rice+ curd
04/11/2023,Bank account,Groceries,-10,INR,-10,INR,Banana 
04/11/2023,Bank account,Food,-130,INR,-130,INR,Tandoori+chapati
04/11/2023,Bank account,Sports,-115,INR,-115,INR,Football 
04/11/2023,Bank account,Sourav ,-25,INR,-25,INR,Sourav petrol
05/11/2023,Bank account,Groceries,-24,INR,-24,INR,Milk
05/11/2023,Bank account,Food,-93,INR,-93,INR,Alfahm + roti zomato
05/11/2023,Bank account,House,-963,INR,-963,INR,Maintenance + Waterbill
05/11/2023,Bank account,House,"-3,600",INR,"-3,600",INR,Rent
05/11/2023,Bank account,Petrol,-34,INR,-34,INR,Petrol
05/11/2023,Bank account,Bills,-66,INR,-66,INR,Police fine
05/11/2023,Bank account,Eggs,-35,INR,-35,INR,Eggs
05/11/2023,Bank account,Groceries,-24,INR,-24,INR,Milk
06/11/2023,Bank account,Food,-40,INR,-40,INR,Vada
06/11/2023,Bank account,Food,-120,INR,-120,INR,Biriyani 
06/11/2023,Bank account,Groceries,-10,INR,-10,INR,Banana 
